Название статьи;Текст
Статья 234. Незаконный оборот сильнодействующих или ядовитых веществ в целях сбыта;УК РФ Статья 234. Незаконный оборот сильнодействующих или ядовитых веществ в целях сбыта 1. Незаконные изготовление, переработка, приобретение, хранение, перевозка или пересылка в целях сбыта, а равно незаконный сбыт сильнодействующих или ядовитых веществ, не являющихсянаркотическими средствамиилипсихотропными веществами, либо оборудования для их изготовления или переработки - наказываются штрафом в размере до сорока тысяч рублей или в размере заработной платы или иного дохода осужденного за период до трех месяцев, либо обязательными работами на срок до трехсот шестидесяти часов, либо исправительными работами на срок до одного года, либо ограничением свободы на срок до трех лет, либо принудительными работами на срок до трех лет, либо лишением свободы на тот же срок. 2. Те же деяния, совершенные группой лиц по предварительному сговору, - наказываются штрафом в размере до восьмидесяти тысяч рублей или в размере заработной платы или иного дохода осужденного за период до шести месяцев, либо обязательными работами на срок до четырехсот восьмидесяти часов, либо исправительными работами на срок до двух лет, либо принудительными работами на срок до пяти лет, либо лишением свободы на тот же срок. 3. Деяния, предусмотренныечастями первойиливторойнастоящей статьи, совершенные организованной группой либо в отношении сильнодействующих веществ в крупном размере, - наказываются штрафом в размере до ста двадцати тысяч рублей или в размере заработной платы или иного дохода осужденного за период до одного года, либо принудительными работами на срок до пяти лет, либо лишением свободы на срок до восьми лет. 4. Нарушение правил производства, приобретения, хранения, учета, отпуска, перевозки или пересылки сильнодействующих или ядовитых веществ, если это повлекло по неосторожности их хищение либо причинениеиногосущественного вреда, - наказывается штрафом в размере до двухсот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до восемнадцати месяцев, либо обязательными работами на срок до четырехсот восьмидесяти часов, либо исправительными работами на срок до двух лет, либо ограничением свободы на срок до двух лет, либо принудительными работами на срок до двух лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет или без такового, либо лишением свободы на срок до двух лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет или без такового. Примечание.Спискисильнодействующих и ядовитых веществ, а такжекрупный размерсильнодействующих веществ для целей настоящей статьи и других статей настоящего Кодекса утверждаются Правительством Российской Федерации.
Статья 234.1. Незаконный оборот новых потенциально опасных психоактивных веществ;УК РФ Статья 234.1. Незаконный оборот новых потенциально опасных психоактивных веществ  (введена Федеральнымзакономот 03.02.2015 N 7-ФЗ) 1. Незаконные производство, изготовление, переработка, хранение, перевозка, пересылка, приобретение, ввоз на территорию Российской Федерации, вывоз с территории Российской Федерации в целях сбыта, а равно незаконный сбыт новых потенциально опасныхпсихоактивных веществ, оборот которых в Российской Федерации запрещен, - наказываются штрафом в размере до тридцати тысяч рублей или в размере заработной платы или иного дохода осужденного за период до двух месяцев либо ограничением свободы на срок до двух лет. 2. Те же деяния, совершенные группой лиц по предварительному сговору либо повлекшие по неосторожности причинениетяжкого вредаздоровью человека, - наказываются штрафом в размере до двухсот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до одного года, либо обязательными работами на срок до четырехсот восьмидесяти часов, либо принудительными работами на срок до пяти лет, либо лишением свободы на срок до шести лет. 3. Деяния, предусмотренныечастями первойиливторойнастоящей статьи, совершенные организованной группой либо повлекшие по неосторожности смерть человека, - наказываются принудительными работами на срок до пяти лет либо лишением свободы на срок до восьми лет.
Статья 234.2. Незаконный оборот метилового спирта (метанола), метанолсодержащих жидкостей;"УК РФ Статья 234.2. Незаконный оборот метилового спирта (метанола), метанолсодержащих жидкостей  (введена Федеральнымзакономот 28.04.2023 N 161-ФЗ)  1. Незаконные производство, приобретение, хранение, перевозка или пересылка в целях сбыта, а равно сбыт метилового спирта (метанола) либо метанолсодержащих жидкостей под видом алкогольной продукции - наказываются штрафом в размере от ста тысяч до пятисот тысяч рублей или в размере заработной платы или иного дохода осужденного за период от одного года до двух лет, либо обязательными работами на срок до четырехсот восьмидесяти часов, либо принудительными работами на срок до четырех лет, либо лишением свободы на тот же срок. 2. Те же деяния, если они: а) совершены группой лиц по предварительному сговору или организованной группой; б) повлекли по неосторожности причинение тяжкого вреда здоровью либо смерть человека, - наказываются принудительными работами на срок до пяти лет либо лишением свободы на срок до шести лет со штрафом в размере до семисот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до трех лет либо без такового. 3. Деяния, предусмотренныечастью первойиливторойнастоящей статьи, повлекшие по неосторожности смерть двух или более лиц, - наказываются лишением свободы на срок до десяти лет со штрафом в размере до одного миллиона рублей или в размере заработной платы или иного дохода осужденного за период до четырех лет либо без такового и с ограничением свободы на срок до двух лет либо без такового."
Статья 235. Незаконное осуществление медицинской деятельности или фармацевтической деятельности;УК РФ Статья 235. Незаконное осуществление медицинской деятельности или фармацевтической деятельности 1. Осуществление медицинской деятельности или фармацевтической деятельности лицом, не имеющим лицензии на данный вид деятельности, при условии, что такая лицензия обязательна, если это повлекло по неосторожности причинение вреда здоровью человека, - наказывается штрафом в размере до ста двадцати тысяч рублей или в размере заработной платы или иного дохода осужденного за период до одного года, либо ограничением свободы на срок до трех лет, либо принудительными работами на срок до трех лет, либо лишением свободы на тот же срок. 2. То же деяние, повлекшее по неосторожности смерть человека, - наказывается принудительными работами на срок до пяти лет либо лишением свободы на тот же срок.
Статья 235.1. Незаконное производство лекарственных средств и медицинских изделий;"УК РФ Статья 235.1. Незаконное производство лекарственных средств и медицинских изделий  (введена Федеральнымзакономот 31.12.2014 N 532-ФЗ)  1. Производство лекарственных средств или медицинских изделий без специального разрешения (лицензии), если такое разрешение (такая лицензия) обязательно (обязательна), - наказывается лишением свободы на срок от трех до пяти лет со штрафом в размере от пятисот тысяч до двух миллионов рублей или в размере заработной платы или иного дохода осужденного за период от шести месяцев до двух лет или без такового. 2. Те же деяния, совершенные: а) организованной группой; б) в крупном размере, - наказываются лишением свободы на срок от пяти до восьми лет со штрафом в размере от одного миллиона до трех миллионов рублей либо в размере заработной платы или иного дохода осужденного за период от одного года до трех лет или без такового. Примечание. Крупным размером в настоящей статье признается стоимость лекарственных средств или медицинских изделий, превышающая сто тысяч рублей."
Статья 236. Нарушение санитарно-эпидемиологических правил;УК РФ Статья 236. Нарушение санитарно-эпидемиологических правил  (в ред. Федеральногозаконаот 01.04.2020 N 100-ФЗ) (см. текст в предыдущейредакции) 1. Нарушение санитарно-эпидемиологических правил, повлекшее по неосторожностимассовое заболеваниеили отравление людей либо создавшееугрозунаступления таких последствий, - наказывается штрафом в размере от пятисот тысяч до семисот тысяч рублей или в размере заработной платы или иного дохода осужденного за период от одного года до восемнадцати месяцев, либо лишением права занимать определенные должности или заниматься определенной деятельностью на срок от одного года до трех лет, либо ограничением свободы на срок до двух лет, либо принудительными работами на срок до двух лет, либо лишением свободы на тот же срок. 2. Нарушение санитарно-эпидемиологических правил, повлекшее по неосторожности смерть человека, - наказывается штрафом в размере от одного миллиона до двух миллионов рублей или в размере заработной платы или иного дохода осужденного за период от одного года до трех лет, либо ограничением свободы на срок от двух до четырех лет, либо принудительными работами на срок от трех до пяти лет, либо лишением свободы на тот же срок. 3. Нарушение санитарно-эпидемиологических правил, повлекшее по неосторожности смерть двух или более лиц, - наказывается принудительными работами на срок от четырех до пяти лет либо лишением свободы на срок от пяти до семи лет.
Статья 237. Сокрытие информации об обстоятельствах, создающих опасность для жизни или здоровья людей;УК РФ Статья 237. Сокрытие информации об обстоятельствах, создающих опасность для жизни или здоровья людей 1. Сокрытие или искажение информации о событиях, фактах или явлениях, создающих опасность для жизни или здоровья людей либо для окружающей среды, совершенные лицом, обязанным обеспечивать население и органы, уполномоченные на принятие мер по устранению такой опасности, указанной информацией, - наказываются штрафом в размере до трехсот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до двух лет, либо принудительными работами на срок до двух лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет или без такового, либо лишением свободы на срок до двух лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет или без такового. 2. Те же деяния, если они совершены лицом, занимающимгосударственную должность Российской Федерацииили государственную должность субъекта Российской Федерации, а равно главой органа местного самоуправления либо если в результате таких деяний причинен вред здоровью человека или наступили иные тяжкие последствия, - наказываются штрафом в размере от ста тысяч до пятисот тысяч рублей или в размере заработной платы или иного дохода осужденного за период от одного года до трех лет, либо принудительными работами на срок до пяти лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет или без такового, либо лишением свободы на срок до пяти лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет или без такового.
Статья 238. Производство, хранение, перевозка либо сбыт товаров и продукции, выполнение работ или оказание услуг, не отвечающих требованиям безопасности;"УК РФ Статья 238. Производство, хранение, перевозка либо сбыт товаров и продукции, выполнение работ или оказание услуг, не отвечающих требованиям безопасности 1. Производство, хранение или перевозка в целяхсбыталибо сбыт товаров и продукции, выполнение работ или оказание услуг, не отвечающих требованиям безопасности жизни или здоровья потребителей, а равно неправомерные выдача илииспользованиеофициальногодокумента, удостоверяющего соответствие указанных товаров, работ или услуг требованиям безопасности, - наказываются штрафом в размере до трехсот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до двух лет, либо обязательными работами на срок до трехсот шестидесяти часов, либо ограничением свободы на срок до двух лет, либо принудительными работами на срок до двух лет, либо лишением свободы на тот же срок. 2. Те же деяния, если они: а) совершены группой лиц по предварительному сговору или организованной группой; б) совершены в отношении товаров, работ или услуг, предназначенных для детей в возрасте до шести лет; в) повлекли по неосторожности причинениетяжкого вредаздоровью либо смерть человека, - наказываются штрафом в размере от ста тысяч до пятисот тысяч рублей или в размере заработной платы или иного дохода осужденного за период от одного года до трех лет, либо принудительными работами на срок до пяти лет, либо лишением свободы на срок до шести лет со штрафом в размере до пятисот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до трех лет или без такового. 3. Деяния, предусмотренныечастями первойиливторойнастоящей статьи, повлекшие по неосторожности смерть двух или более лиц, - наказываются принудительными работами на срок до пяти лет либо лишением свободы на срок до десяти лет. Примечание. Действие настоящей статьи не распространяется на случаи оказания медицинскими работниками медицинской помощи."
Статья 238.1. Обращение фальсифицированных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и оборот фальсифицированных биологически активных добавок;"УК РФ Статья 238.1. Обращение фальсифицированных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и оборот фальсифицированных биологически активных добавок  (введена Федеральнымзакономот 31.12.2014 N 532-ФЗ)  1. Производство, сбыт или ввоз на территорию Российской Федерациифальсифицированныхлекарственных средств или медицинских изделий, либо сбыт или ввоз на территорию Российской Федерациинедоброкачественныхлекарственных средств или медицинских изделий, либо незаконные производство, сбыт или ввоз на территорию Российской Федерации в целях сбыта незарегистрированных лекарственных средств или медицинских изделий, либо производство, сбыт или ввоз на территорию Российской Федерации фальсифицированных биологически активных добавок, содержащих не заявленные при государственной регистрации фармацевтические субстанции, совершенные в крупном размере, - наказываются принудительными работами на срок от трех до пяти лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет или без такового либо лишением свободы на срок от трех до пяти лет со штрафом в размере от пятисот тысяч до двух миллионов рублей или в размере заработной платы или иного дохода осужденного за период от шести месяцев до двух лет или без такового и с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет или без такового. 1.1. Деяния, предусмотренныечастью первойнастоящей статьи, совершенные с использованием средств массовой информации или информационно-телекоммуникационных сетей, в том числе сети ""Интернет"", - наказываются принудительными работами на срок от четырех до пяти лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок от двух до трех лет или без такового либо лишением свободы на срок от четырех до шести лет со штрафом в размере от семисот пятидесяти тысяч до двух миллионов пятисот тысяч рублей или в размере заработной платы или иного дохода осужденного за период от одного года до двух лет или без такового и с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до четырех лет или без такового. 2. Деяния, предусмотренныечастями первойилипервой.1настоящей статьи, если они: а) совершены группой лиц по предварительному сговору или организованной группой; б) повлекли по неосторожности причинениетяжкого вредаздоровью либо смерть человека, - наказываются лишением свободы на срок от пяти до восьми лет со штрафом в размере от одного миллиона до трех миллионов рублей или в размере заработной платы или иного дохода осужденного за период от одного года до трех лет или без такового и с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до пяти лет или без такового. 3. Деяния, предусмотренныечастями первой,первой.1иливторойнастоящей статьи, повлекшие по неосторожности смерть двух или более лиц, - наказываются лишением свободы на срок от восьми до двенадцати лет со штрафом в размере от двух миллионов до пяти миллионов рублей или в размере заработной платы или иного дохода осужденного за период от двух до пяти лет или без такового и с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до десяти лет или без такового. Примечания. 1. Действие настоящей статьи не распространяется на случаи незаконных сбыта и ввоза на территорию Российской Федерации наркотических средств, психотропных веществ, их прекурсоров, сильнодействующих или ядовитых веществ, а также незаконного производства наркотических средств, психотропных веществ или их прекурсоров. 2. Крупным размером в настоящей статье признается стоимость лекарственных средств, медицинских изделий или биологически активных добавок в сумме, превышающей сто тысяч рублей. 3. Действие настоящей статьи не распространяется на случаи сбыта и (или) ввоза на территорию Российской Федерации в целях сбыта незарегистрированных в Российской Федерации лекарственных средств или медицинских изделий, если указанные лекарственные средства или медицинские изделия в Российской Федерации не производятся, и (или) если сбыт и (или) ввоз таких лекарственных средств или медицинских изделий допускаются в соответствии с законодательством об обращении лекарственных средств и законодательством в сфере охраны здоровья соответственно, и (или) если указанные лекарственные средства или медицинские изделия рекомендованы к применению Всемирной организацией здравоохранения."
Статья 239. Создание некоммерческой организации, посягающей на личность и права граждан;УК РФ Статья 239. Создание некоммерческой организации, посягающей на личность и права граждан  (в ред. Федеральногозаконаот 20.07.2012 N 121-ФЗ) (см. текст в предыдущейредакции)  1. Создание религиозного или общественного объединения, деятельность которого сопряжена с насилием над гражданами или иным причинением вреда их здоровью, а равно руководство таким объединением - наказываются принудительными работами на срок до пяти лет либо лишением свободы на срок до семи лет. 2. Создание некоммерческой организации (включая некоммерческую организацию, действующую в качестве иностранного агента) либо структурного подразделения иностранной некоммерческой неправительственной организации, деятельность которых сопряжена с побуждением граждан к отказу от исполнения гражданских обязанностей или к совершению иных противоправных деяний, а равно руководство такой организацией либо структурным подразделением - наказываются принудительными работами на срок до пяти лет либо лишением свободы на срок до шести лет. 3. Участие в деятельности некоммерческой организации, указанной вчастях первойивторойнастоящей статьи, а равно пропаганда деяний, предусмотренныхчастями первойивторойнастоящей статьи, - наказываются штрафом в размере до двухсот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до восемнадцати месяцев, либо обязательными работами на срок до четырехсот часов, либо исправительными работами на срок до двух лет, либо ограничением свободы на срок до трех лет, либо принудительными работами на срок до четырех лет, либо лишением свободы на тот же срок. 
Статья 240. Вовлечение в занятие проституцией;"УК РФ Статья 240. Вовлечение в занятие проституцией  (в ред. Федеральногозаконаот 08.12.2003 N 162-ФЗ) (см. текст в предыдущейредакции) 1. Вовлечение в занятие проституцией или принуждение к продолжению занятия проституцией - наказываются штрафом в размере до двухсот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до восемнадцати месяцев, либо ограничением свободы на срок до трех лет, либо принудительными работами на срок до трех лет, либо лишением свободы на тот же срок. 2. Те же деяния, совершенные: а) с применением насилия или с угрозой его применения; б) с перемещением потерпевшего через Государственную границу Российской Федерации или с незаконным удержанием его за границей; в) группой лиц по предварительному сговору, - наказываются лишением свободы на срок до шести лет с ограничением свободы на срок до двух лет либо без такового. 3. Деяния, предусмотренныечастями первойиливторойнастоящей статьи, совершенные организованной группой либо в отношении несовершеннолетнего, - наказываются лишением свободы на срок от трех до восьми лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до пятнадцати лет либо без такового и с ограничением свободы на срок до двух лет либо без такового."
Статья 240.1. Получение сексуальных услуг несовершеннолетнего;УК РФ Статья 240.1. Получение сексуальных услуг несовершеннолетнего  (введена Федеральнымзакономот 28.12.2013 N 380-ФЗ)  Получение сексуальных услуг несовершеннолетнего в возрасте от шестнадцати до восемнадцати лет лицом, достигшим восемнадцатилетнего возраста, - наказывается обязательными работами на срок до двухсот сорока часов, либо ограничением свободы на срок до двух лет, либо принудительными работами на срок до четырех лет, либо лишением свободы на тот же срок. Примечание. Под сексуальными услугами в настоящей статье понимаются половое сношение, мужеложство, лесбиянство или иные действия сексуального характера, условием совершения которых является денежное или любое другое вознаграждение несовершеннолетнего или третьего лица либо обещание вознаграждения несовершеннолетнему или третьему лицу.
Статья 241. Организация занятия проституцией;"УК РФ Статья 241. Организация занятия проституцией  (в ред. Федеральногозаконаот 08.12.2003 N 162-ФЗ) (см. текст в предыдущейредакции) 1. Деяния, направленные на организацию занятия проституцией другими лицами, а равно содержание притонов для занятия проституцией или систематическое предоставление помещений для занятия проституцией - наказываются штрафом в размере от ста тысяч до пятисот тысяч рублей или в размере заработной платы или иного дохода осужденного за период от одного года до трех лет, либо принудительными работами на срок до пяти лет, либо лишением свободы на тот же срок. 2. Те же деяния, совершенные: а) лицом с использованием своего служебного положения; б) с применением насилия или с угрозой его применения; в) с использованием для занятия проституцией несовершеннолетних, - наказываются лишением свободы на срок до шести лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до десяти лет либо без такового и с ограничением свободы на срок до двух лет либо без такового. 3. Деяния, предусмотренныечастями первойиливторойнастоящей статьи, совершенные с использованием для занятия проституцией лиц, не достигших четырнадцатилетнего возраста, - наказываются лишением свободы на срок от трех до десяти лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до пятнадцати лет либо без такового и с ограничением свободы на срок от одного года до двух лет либо без такового."
Статья 242. Незаконные изготовление и оборот порнографических материалов или предметов;"УК РФ Статья 242. Незаконные изготовление и оборот порнографических материалов или предметов  (в ред. Федеральногозаконаот 29.02.2012 N 14-ФЗ) (см. текст в предыдущейредакции)  1. Незаконные изготовление и (или) перемещение через Государственную границу Российской Федерации в целяхраспространения, публичнойдемонстрацииилирекламированиялибо распространение, публичная демонстрация или рекламирование порнографических материалов или предметов - наказываются штрафом в размере от ста тысяч до трехсот тысяч рублей или в размере заработной платы или иного дохода осужденного за период от одного года до двух лет, либо принудительными работами на срок до двух лет, либо лишением свободы на тот же срок. 2. Распространение, публичная демонстрация или рекламирование порнографических материалов или предметов среди несовершеннолетних либо вовлечение несовершеннолетнего в оборот порнографической продукции, совершенные лицом, достигшим восемнадцатилетнего возраста, - наказываются лишением свободы на срок от двух до пяти лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до десяти лет либо без такового. 3. Деяния, предусмотренныечастями первойиливторойнастоящей статьи, совершенные: а) группой лиц по предварительному сговору или организованной группой; б) с использованием средств массовой информации либо информационно-телекоммуникационныхсетей, в том числе сети ""Интернет""; в) с извлечением дохода в крупном размере, - наказываются лишением свободы на срок от двух до шести лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до пятнадцати лет либо без такового. Примечание. Доходом в крупном размере в настоящей статье, а также встатье 242.1настоящего Кодекса признается доход в сумме, превышающей пятьдесят тысяч рублей."
